"id","company_id/id","name"
"__export__.stock_location_route_10","scen.company_gb","BSO Network Solutions Ldt: Ship Only"
"__export__.stock_location_route_12","scen.company_lu","BSO Network Solutions Luxembourg SARL: Receipt in 1 step"
"__export__.stock_location_route_13","scen.company_lu","BSO Network Solutions Luxembourg SARL: Ship Only"
"__export__.stock_location_route_15","scen.company_us","BSO Network Inc,: Receipt in 1 step"
"__export__.stock_location_route_16","scen.company_us","BSO Network Inc,: Ship Only"
"__export__.stock_location_route_18","scen.company_bpo","BPO Technology: Receipt in 1 step"
"__export__.stock_location_route_19","scen.company_bpo","BPO Technology: Ship Only"
"__export__.stock_location_route_2","base.main_company","My Company: Receipt in 1 step"
"__export__.stock_location_route_21","__export__.res_company_8","BSO SC: Receipt in 1 step"
"__export__.stock_location_route_22","__export__.res_company_8","BSO SC: Ship Only"
"__export__.stock_location_route_3","base.main_company","My Company: Ship Only"
"__export__.stock_location_route_6","scen.company_fr","BSO Network Solutions SAS: Receipt in 1 step"
"__export__.stock_location_route_7","scen.company_fr","BSO Network Solutions SAS: Ship Only"
"__export__.stock_location_route_9","scen.company_gb","BSO Network Solutions Ldt: Receipt in 1 step"
